SNR,N,error,p
2.428094,128000000.000000,442350.000000,0.034559
2.464883,128000000.000000,432719.000000,0.033806
2.501672,128000000.000000,421522.000000,0.032931
2.538462,128000000.000000,412620.000000,0.032236
2.575251,128000000.000000,402639.000000,0.031456
2.612040,128000000.000000,396236.000000,0.030956
2.648829,128000000.000000,386669.000000,0.030209
2.685619,128000000.000000,378813.000000,0.029595
2.722408,128000000.000000,369645.000000,0.028879
2.759197,128000000.000000,360872.000000,0.028193
2.795987,128000000.000000,352525.000000,0.027541
2.832776,128000000.000000,343118.000000,0.026806
2.869565,128000000.000000,335630.000000,0.026221
2.906355,128000000.000000,327970.000000,0.025623
2.943144,128000000.000000,320571.000000,0.025045
2.979933,128000000.000000,310998.000000,0.024297
3.016722,128000000.000000,303731.000000,0.023729
3.053512,128000000.000000,295296.000000,0.023070
3.090301,128000000.000000,288725.000000,0.022557
3.127090,128000000.000000,280324.000000,0.021900
3.163880,128000000.000000,272820.000000,0.021314
3.200669,128000000.000000,267066.000000,0.020865
3.237458,128000000.000000,260960.000000,0.020387
3.274247,128000000.000000,252647.000000,0.019738
3.311037,128000000.000000,245999.000000,0.019219
3.347826,128000000.000000,238979.000000,0.018670
3.384615,128000000.000000,233353.000000,0.018231
3.421405,128000000.000000,227190.000000,0.017749
3.458194,128000000.000000,221722.000000,0.017322
3.494983,128000000.000000,215011.000000,0.016798
3.531773,128000000.000000,208852.000000,0.016317
3.568562,128000000.000000,202548.000000,0.015824
3.605351,128000000.000000,198588.000000,0.015515
3.642140,128000000.000000,190763.000000,0.014903
3.678930,128000000.000000,185438.000000,0.014487
3.715719,128000000.000000,180497.000000,0.014101
3.752508,128000000.000000,175430.000000,0.013705
3.789298,128000000.000000,170283.000000,0.013303
3.826087,128000000.000000,164729.000000,0.012869
3.862876,128000000.000000,160496.000000,0.012539
3.899666,128000000.000000,155226.000000,0.012127
3.936455,128000000.000000,150014.000000,0.011720
3.973244,128000000.000000,144706.000000,0.011305
4.010033,128000000.000000,140808.000000,0.011001
4.046823,128000000.000000,136215.000000,0.010642
4.083612,128000000.000000,132281.000000,0.010334
4.120401,128000000.000000,127368.000000,0.009951
4.157191,128000000.000000,123608.000000,0.009657
4.193980,128000000.000000,120607.000000,0.009422
4.230769,128000000.000000,116134.000000,0.009073
4.267559,128000000.000000,111317.000000,0.008697
4.304348,128000000.000000,107755.000000,0.008418
4.341137,128000000.000000,104498.000000,0.008164
4.377926,128000000.000000,101021.000000,0.007892
4.414716,128000000.000000,97136.000000,0.007589
4.451505,128000000.000000,94571.000000,0.007388
4.488294,128000000.000000,90176.000000,0.007045
4.525084,128000000.000000,87714.000000,0.006853
4.561873,128000000.000000,84525.000000,0.006604
4.598662,128000000.000000,81202.000000,0.006344
4.635452,128000000.000000,79161.000000,0.006184
4.672241,128000000.000000,75314.000000,0.005884
4.709030,128000000.000000,72589.000000,0.005671
4.745819,128000000.000000,70205.000000,0.005485
4.782609,128000000.000000,68388.000000,0.005343
4.819398,128000000.000000,64370.000000,0.005029
4.856187,128000000.000000,62300.000000,0.004867
4.892977,128000000.000000,60511.000000,0.004727
4.929766,128000000.000000,57867.000000,0.004521
4.966555,128000000.000000,55701.000000,0.004352
5.003344,128000000.000000,53237.000000,0.004159
5.040134,128000000.000000,51296.000000,0.004007
5.076923,128000000.000000,48908.000000,0.003821
5.113712,128000000.000000,46655.000000,0.003645
5.150502,128000000.000000,45317.000000,0.003540
5.187291,128000000.000000,43584.000000,0.003405
5.224080,128000000.000000,41810.000000,0.003266
5.260870,128000000.000000,39865.000000,0.003114
5.297659,128000000.000000,38108.000000,0.002977
5.334448,128000000.000000,36771.000000,0.002873
5.371237,128000000.000000,34504.000000,0.002696
5.408027,128000000.000000,33955.000000,0.002653
5.444816,128000000.000000,32371.000000,0.002529
5.481605,128000000.000000,31042.000000,0.002425
5.518395,128000000.000000,28953.000000,0.002262
5.555184,128000000.000000,27809.000000,0.002173
5.591973,128000000.000000,26538.000000,0.002073
5.628763,128000000.000000,25359.000000,0.001981
5.665552,128000000.000000,24059.000000,0.001880
5.702341,128000000.000000,23442.000000,0.001831
5.739130,128000000.000000,22236.000000,0.001737
5.775920,128000000.000000,21059.000000,0.001645
5.812709,128000000.000000,19922.000000,0.001556
5.849498,128000000.000000,19322.000000,0.001510
5.886288,128000000.000000,18183.000000,0.001421
5.923077,128000000.000000,17457.000000,0.001364
5.959866,128000000.000000,16342.000000,0.001277
5.996656,128000000.000000,15674.000000,0.001225
6.033445,128000000.000000,148249.000000,0.001158
6.000000,12800000.000000,15677.000000,0.001225
6.034722,12800000.000000,14780.000000,0.001155
6.069444,12800000.000000,14240.000000,0.001112
6.104167,12800000.000000,13478.000000,0.001053
6.138889,12800000.000000,12674.000000,0.000990
6.173611,12800000.000000,12157.000000,0.000950
